,data,latitude,longitude,date
0,0.0003893866087310016,26.0,70.0,2010-01-01
1,0.0003886756021529436,24.0,70.0,2010-01-01
2,0.00038799826870672405,22.0,70.0,2010-01-01
3,0.00038718050927855074,26.0,72.5,2010-01-01
4,0.00038936667260713875,24.0,72.5,2010-01-01
5,0.00038838700857013464,22.0,72.5,2010-01-01
6,0.000386619009077549,26.0,75.0,2010-01-01
7,0.00038498351932503283,24.0,75.0,2010-01-01
8,0.0003837060066871345,22.0,75.0,2010-01-01
9,0.0003883525059791282,26.0,70.0,2010-01-02
10,0.0003883525059791282,24.0,70.0,2010-01-02
11,0.0003883525059791282,22.0,70.0,2010-01-02
12,0.0003883525059791282,26.0,72.5,2010-01-02
13,0.00039101799484342337,24.0,72.5,2010-01-02
14,0.0003931210085283965,22.0,72.5,2010-01-02
15,0.0003883525059791282,26.0,75.0,2010-01-02
16,0.0003878819989040494,24.0,75.0,2010-01-02
17,0.0003813890216406435,22.0,75.0,2010-01-02
18,0.0003914920089300722,26.0,70.0,2010-01-03
19,0.000389421998988837,24.0,70.0,2010-01-03
20,0.000390878994949162,22.0,70.0,2010-01-03
21,0.000387999985832721,26.0,72.5,2010-01-03
22,0.0003889969957526773,24.0,72.5,2010-01-03
23,0.00038722596946172416,22.0,72.5,2010-01-03
24,0.00038908899296075106,26.0,75.0,2010-01-03
25,0.00038777050212956965,24.0,75.0,2010-01-03
26,0.0003859243297483772,22.0,75.0,2010-01-03
27,0.0003870509332045913,26.0,70.0,2010-01-04
28,0.0003870509332045913,24.0,70.0,2010-01-04
29,0.0003870509332045913,22.0,70.0,2010-01-04
30,0.000391345500247553,26.0,72.5,2010-01-04
31,0.0003870509332045913,24.0,72.5,2010-01-04
32,0.00038349966052919626,22.0,72.5,2010-01-04
33,0.0003866946790367365,26.0,75.0,2010-01-04
34,0.0003859122225549072,24.0,75.0,2010-01-04
35,0.0003878026036545634,22.0,75.0,2010-01-04
36,0.00039045102312229574,26.0,70.0,2010-01-05
37,0.00039160798769444227,24.0,70.0,2010-01-05
38,0.00039101598667912185,22.0,70.0,2010-01-05
39,0.00039197501610033214,26.0,72.5,2010-01-05
40,0.0003932800027541816,24.0,72.5,2010-01-05
41,0.0003893570101354271,22.0,72.5,2010-01-05
42,0.0003923823533114046,26.0,75.0,2010-01-05
43,0.00039151142118498683,24.0,75.0,2010-01-05
44,0.0003920219896826893,22.0,75.0,2010-01-05
45,0.00038686979678459466,26.0,70.0,2010-01-06
46,0.00039045800804160535,24.0,70.0,2010-01-06
47,0.00038632401265203953,22.0,70.0,2010-01-06
48,0.00038529999437741935,26.0,72.5,2010-01-06
49,0.00038686979678459466,24.0,72.5,2010-01-06
50,0.00038686979678459466,22.0,72.5,2010-01-06
51,0.00038686979678459466,26.0,75.0,2010-01-06
52,0.0003871129883918911,24.0,75.0,2010-01-06
53,0.0003851539804600179,22.0,75.0,2010-01-06
54,0.00038957397919148207,26.0,70.0,2010-01-07
55,0.00038544100243598223,24.0,70.0,2010-01-07
56,0.0003841459983959794,22.0,70.0,2010-01-07
57,0.00038979799137450755,26.0,72.5,2010-01-07
58,0.00038857400068081915,24.0,72.5,2010-01-07
59,0.00038291700184345245,22.0,72.5,2010-01-07
60,0.00038735780617571436,26.0,75.0,2010-01-07
61,0.00039064098382368684,24.0,75.0,2010-01-07
62,0.0003877714916598052,22.0,75.0,2010-01-07
63,0.00039126400952227414,26.0,70.0,2010-01-08
64,0.0003862316661980003,24.0,70.0,2010-01-08
65,0.0003863241654471494,22.0,70.0,2010-01-08
66,0.0003863241654471494,26.0,72.5,2010-01-08
67,0.00038613699143752456,24.0,72.5,2010-01-08
68,0.0003816639946307987,22.0,72.5,2010-01-08
69,0.0003863241654471494,26.0,75.0,2010-01-08
70,0.0003863241654471494,24.0,75.0,2010-01-08
71,0.0003863241654471494,22.0,75.0,2010-01-08
72,0.00038820598274469376,26.0,70.0,2010-01-09
73,0.00038820598274469376,24.0,70.0,2010-01-09
74,0.00038820598274469376,22.0,70.0,2010-01-09
75,0.00038820598274469376,26.0,72.5,2010-01-09
76,0.00038820598274469376,24.0,72.5,2010-01-09
77,0.00038820598274469376,22.0,72.5,2010-01-09
78,0.00038820598274469376,26.0,75.0,2010-01-09
79,0.00038820598274469376,24.0,75.0,2010-01-09
80,0.00038820598274469376,22.0,75.0,2010-01-09
81,0.00039196948637254536,26.0,70.0,2010-01-26
82,0.0003904204932041466,24.0,70.0,2010-01-26
83,0.00038373933057300746,22.0,70.0,2010-01-26
84,0.0003913870023097843,26.0,72.5,2010-01-26
85,0.00038922924431972206,24.0,72.5,2010-01-26
86,0.00038562167901545763,22.0,72.5,2010-01-26
87,0.00039211701368913054,26.0,75.0,2010-01-26
88,0.0003900653391610831,24.0,75.0,2010-01-26
89,0.00038377800956368446,22.0,75.0,2010-01-26
90,0.000386349500331562,26.0,70.0,2010-01-27
91,0.00038506800774484873,24.0,70.0,2010-01-27
92,0.000386349500331562,22.0,70.0,2010-01-27
93,0.00039117300184443593,26.0,72.5,2010-01-27
94,0.000386349500331562,24.0,72.5,2010-01-27
95,0.000386349500331562,22.0,72.5,2010-01-27
96,0.00038346799556165934,26.0,75.0,2010-01-27
97,0.00038568899617530406,24.0,75.0,2010-01-27
98,0.000386349500331562,22.0,75.0,2010-01-27
99,0.0003874407266266644,26.0,70.0,2010-01-28
100,0.0003892539825756103,24.0,70.0,2010-01-28
101,0.00038498584763146937,22.0,70.0,2010-01-28
102,0.0003879574069287628,26.0,72.5,2010-01-28
103,0.00038990401662886143,24.0,72.5,2010-01-28
104,0.00038627476897090673,22.0,72.5,2010-01-28
105,0.0003878147399518639,26.0,75.0,2010-01-28
106,0.0003880090080201626,24.0,75.0,2010-01-28
107,0.0003869170031975955,22.0,75.0,2010-01-28
108,0.0003824894956778735,26.0,70.0,2010-01-29
