,co2,longitude,latitude,time
83,380.53442,122.92818,-17.548912,2009-04-21 04:38:02.762016
84,385.10205,122.37062,-20.259346,2009-04-21 04:38:47.355498
85,385.09085,120.862915,-19.890526,2009-04-21 04:38:51.814657
86,384.73434,122.074036,-21.575935,2009-04-21 04:39:27.489056
87,384.84195,121.80732,-22.967915,2009-04-21 04:39:31.949382
88,384.13968,120.268364,-22.60316,2009-04-21 04:39:36.408179
89,384.69147,118.74394,-22.274567,2009-04-21 04:39:40.867458
90,377.50076,115.68732,-21.705088,2009-04-21 04:39:49.786581
91,386.7351,119.96596,-23.945082,2009-04-21 04:40:07.623781
92,382.6888,114.98313,-24.397533,2009-04-21 04:40:34.380063
93,383.91507,114.63878,-25.767885,2009-04-21 04:40:38.839262
94,384.6372,116.19979,-26.03802,2009-04-21 04:40:43.298180
95,386.82327,119.353195,-26.649122,2009-04-21 04:40:52.217262
96,384.73468,115.84789,-27.374048,2009-04-21 04:41:14.513581
97,384.22748,114.24821,-27.088894,2009-04-21 04:41:18.973987
98,384.52234,118.401306,-30.715124,2009-04-21 04:41:50.187980
99,386.19485,116.76047,-30.378069,2009-04-21 04:41:54.648386
100,384.04968,115.121,-30.066963,2009-04-21 04:41:59.107063
101,385.9429,116.408195,-31.726809,2009-04-21 04:42:16.944785
102,375.70316,97.13504,-65.55255,2009-04-21 04:51:52.200848
103,385.75232,107.49632,-67.10357,2009-04-21 04:52:05.578084
104,381.8338,102.779945,-67.93231,2009-04-21 04:52:14.497247
105,386.96432,95.69603,-66.78488,2009-04-21 04:52:23.417014
106,391.46454,136.19556,69.87625,2009-04-21 05:51:42.013885
107,406.94357,126.91567,70.20324,2009-04-21 05:52:13.231580
108,390.44708,130.6095,69.51653,2009-04-21 05:52:17.689813
109,398.3,134.00082,68.72128,2009-04-21 05:52:22.149697
110,392.07797,132.1354,67.54493,2009-04-21 05:52:26.608856
111,409.0155,125.266045,68.95785,2009-04-21 05:52:35.526973
112,419.14246,120.18653,68.21034,2009-04-21 05:52:53.364052
113,408.75903,123.78473,67.700424,2009-04-21 05:52:57.824538
114,393.5241,130.33185,66.347015,2009-04-21 05:53:06.743621
115,400.31708,128.7923,65.13402,2009-04-21 05:53:11.202378
116,397.72684,125.70393,65.83962,2009-04-21 05:53:15.661658
117,405.91724,122.44406,66.432014,2009-04-21 05:53:20.120374
118,400.0279,119.0075,66.914986,2009-04-21 05:53:24.580780
119,404.03815,115.41378,67.28735,2009-04-21 05:53:29.039457
120,400.94293,117.940315,65.612114,2009-04-21 05:53:37.958056
121,396.17517,121.22448,65.1538,2009-04-21 05:53:42.417980
122,409.40936,124.34335,64.57982,2009-04-21 05:53:46.877179
123,413.26685,125.99273,62.665043,2009-04-21 05:53:55.796262
124,408.80652,123.11619,63.32229,2009-04-21 05:54:00.256185
125,397.0984,113.70311,64.653755,2009-04-21 05:54:13.633461
126,402.95438,112.98572,63.312157,2009-04-21 05:54:18.093385
127,392.8902,123.61024,60.151985,2009-04-21 05:54:40.389663
128,396.67184,119.93504,59.473236,2009-04-21 05:55:16.064062
129,396.65536,122.50307,58.880085,2009-04-21 05:55:20.524469
130,409.76834,121.55208,57.603916,2009-04-21 05:55:24.982541
131,401.8207,120.5844,56.31907,2009-04-21 05:56:05.117950
132,387.89825,119.75047,55.028942,2009-04-21 05:56:09.577109
133,410.39642,112.43617,56.40327,2009-04-21 05:56:22.955552
134,396.0986,109.86827,56.685143,2009-04-21 05:56:27.414269
135,401.03094,111.83894,55.07541,2009-04-21 05:56:36.333391
136,390.15002,114.596115,50.324265,2009-04-21 05:57:43.224479
137,385.98056,113.979645,48.995434,2009-04-21 05:58:14.439880
138,390.3669,115.43205,47.186905,2009-04-21 05:58:23.357957
139,386.7175,113.40366,47.675804,2009-04-21 05:58:27.818363
140,388.45984,111.3427,48.076637,2009-04-21 05:58:32.277080
141,386.85455,106.72551,47.29461,2009-04-21 05:58:45.655563
142,388.95798,112.841385,46.343166,2009-04-21 05:58:59.033362
143,388.67722,112.31226,45.01571,2009-04-21 05:59:12.411764
144,388.02322,110.34715,45.405884,2009-04-21 05:59:16.869958
145,389.69208,109.877754,44.068127,2009-04-21 05:59:39.168087
146,391.21912,111.7951,43.680756,2009-04-21 05:59:43.627286
147,386.9912,113.167694,41.890976,2009-04-21 05:59:52.546369
148,387.49573,111.306595,42.35028,2009-04-21 05:59:57.005286
149,385.28824,112.16327,39.230076,2009-04-21 06:00:37.139850
150,388.715,110.37156,39.677486,2009-04-21 06:00:41.599170
151,389.9091,108.56281,40.046337,2009-04-21 06:00:46.057967
152,393.26648,106.352135,38.99881,2009-04-21 06:01:03.895569
153,389.54858,109.92249,38.335102,2009-04-21 06:01:12.814652
154,388.98825,111.66112,37.90055,2009-04-21 06:01:17.274575
155,389.3031,105.27462,34.957043,2009-04-21 06:02:19.705659
156,385.94952,104.934,33.60417,2009-04-21 06:02:33.082452
157,387.891,102.91795,32.48697,2009-04-21 06:03:08.758340
158,378.7676,101.71849,27.078249,2009-04-21 06:04:37.945786
159,390.40808,99.741165,17.57119,2009-04-21 06:06:56.186557
160,390.02634,100.91309,16.005518,2009-04-21 06:07:31.861399
161,388.55463,99.440956,16.237436,2009-04-21 06:07:36.320075
162,389.55667,103.209175,12.683412,2009-04-21 06:08:07.536764
